,label,"bbox,0","bbox,1","bbox,2","bbox,3","centroid,0","centroid,1",perimeter,eccentricity
0,1,0,40,18,60,7.3,48.06666666666667,69.55634918610404,0.7746811249616953
1,2,0,102,28,138,11.817829457364342,118.59302325581395,111.8700576850888,0.9084058726265165
2,3,0,152,50,172,24.309192200557103,161.31337047353762,130.97056274847714,0.9443973482123293
3,4,0,178,4,182,1.2,179.7,8.0,0.7815438636511778
4,5,0,296,6,308,2.5,300.92857142857144,34.242640687119284,0.8985489138925848
5,6,0,320,36,344,15.247826086956522,330.11739130434785,107.83452377915606,0.911768201972946
6,7,0,360,42,398,19.543010752688172,378.63978494623655,140.94112549695427,0.9387032719071979
7,8,0,404,12,422,5.181818181818182,412.27272727272725,52.48528137423857,0.7849074324188019
8,9,0,432,30,446,12.93956043956044,438.3241758241758,80.48528137423857,0.8724914592665635
9,10,0,462,20,502,9.62962962962963,478.3888888888889,106.62741699796953,0.9285198918883979
10,11,2,174,58,200,29.59039190897598,186.30847029077117,147.1126983722081,0.9495492738081962
11,12,8,216,48,242,29.4,229.5,117.04163056034261,0.9286645036472972
12,14,12,248,68,266,38.83519553072626,256.79050279329607,135.79898987322332,0.9567453648552404
13,15,14,74,60,106,38.25661375661376,87.76984126984127,139.1126983722081,0.939481114011841
14,16,36,22,68,74,51.125,48.89423076923077,148.76955262170046,0.94491994101411
15,17,38,426,92,448,65.17021276595744,435.8404255319149,139.21320343559643,0.9533517516596328
16,18,40,268,84,352,62.227047146401986,313.53225806451616,284.46803743153544,0.935338980988021
17,19,44,0,88,28,68.84042553191489,12.145390070921986,131.07716446627535,0.9294039657458376
18,20,50,452,86,494,66.33870967741936,470.94086021505376,136.76955262170048,0.9398901227832354
19,21,54,122,88,158,70.66107382550335,139.58724832214764,121.35533905932738,0.9305038315854074
20,22,66,340,88,394,77.0528511821975,367.84561891515995,141.66295090390224,0.9562793062778567
21,23,68,182,92,238,79.08447488584476,208.39954337899545,146.21320343559643,0.9429514997122553
22,24,74,36,120,74,95.01,56.82,146.59797974644664,0.9471114124514863
23,25,78,448,106,504,91.49,474.8,151.698484809835,0.9620912830469055
24,26,84,362,118,398,100.40277777777777,378.97222222222223,120.76955262170047,0.9379320775693895
25,27,86,160,116,208,99.62041884816755,184.2696335078534,142.1126983722081,0.9427265311584746
26,28,86,406,138,432,110.55494505494505,418.65384615384613,138.698484809835,0.9492650539073118
27,29,88,116,130,144,109.5909090909091,130.2012987012987,120.73401871576773,0.8931848552514846
28,30,94,250,150,276,120.79787234042553,262.7340425531915,148.8700576850888,0.9665678384537799
29,31,94,306,146,346,121.11682242990655,324.7616822429907,160.84062043356596,0.9578915371510125
30,32,100,78,150,104,125.18926553672317,90.75988700564972,136.2842712474619,0.9426288106969056
31,33,106,0,138,28,122.03488372093024,12.577519379844961,106.04163056034261,0.8876351840410033
32,34,106,434,146,476,126.60810810810811,455.2891891891892,143.01219330881975,0.9521120749989743
33,35,108,290,166,308,137.773631840796,298.30099502487565,141.55634918610406,0.9604066438551813
34,36,118,48,180,66,149.37782805429865,56.70814479638009,148.38477631085024,0.9579657524586275
35,37,118,166,158,214,139.48477157360406,191.34263959390864,155.01219330881975,0.9628554977705265
36,38,122,364,174,390,148.1580310880829,376.7176165803109,141.4558441227157,0.9486141527723171
37,39,126,132,178,158,152.42670157068062,143.79842931937173,140.8700576850888,0.9511675232226269
38,40,140,486,162,514,151.68446601941747,501.70388349514565,90.14213562373095,0.8186223764239074
39,41,148,0,190,10,167.96478873239437,4.302816901408451,122.38477631085023,0.9753933733589847
40,42,148,82,178,134,162.46116504854368,107.34466019417475,147.698484809835,0.9512588717899695
41,43,152,210,178,264,164.72115384615384,236.22115384615384,144.8700576850888,0.9455395442380017
42,44,156,290,200,336,178.76794258373207,314.0598086124402,156.66904755831214,0.9600261168558817
43,45,156,342,206,388,179.45726495726495,366.54273504273505,166.49747468305833,0.9535310683491469
44,46,164,400,220,436,193.51694915254237,418.3813559322034,165.84062043356596,0.9504607010086947
45,47,170,170,226,190,197.4142857142857,179.56666666666666,140.97056274847716,0.9513696078156763
46,48,172,20,206,70,190.3418079096045,43.121468926553675,148.18376618407356,0.9615725182701801
47,49,172,448,232,514,207.49728997289972,471.1070460704607,261.18376618407353,0.8695903515701812
48,50,186,340,300,374,245.695,359.56,292.6690475583121,0.9858888180789821
49,51,190,108,212,164,200.16137566137567,134.32010582010582,142.04163056034264,0.9590004739680408
50,52,204,0,260,22,233.4718954248366,8.870588235294118,155.62741699796953,0.9460719307891032
51,53,214,212,270,230,241.98768472906403,220.6576354679803,139.3847763108502,0.9483832602961499
52,54,216,36,274,56,243.5899470899471,44.75396825396825,143.79898987322332,0.9625973744664402
53,55,216,242,246,298,231.2004608294931,266.9331797235023,152.73401871576772,0.9450611374751429
54,56,220,396,260,436,240.32198952879583,417.33769633507853,138.01219330881975,0.9102093390980542
55,57,226,72,282,90,253.1969696969697,80.18686868686869,136.38477631085024,0.9456865913728812
56,58,230,294,284,332,257.74651162790695,311.5604651162791,160.39087296526012,0.9569258165015483
57,59,234,102,254,154,244.0044776119403,128.17611940298508,132.42031021678298,0.9477269798201484
58,60,254,470,278,514,265.2415730337079,492.74719101123594,124.38477631085024,0.9173546552524282
59,61,262,114,286,174,273.23394495412845,145.62844036697248,153.4558441227157,0.9560470060266807
60,62,266,0,296,42,280.7682926829268,18.609756097560975,130.0416305603426,0.9344329425353917
61,63,268,180,322,198,295.4021739130435,187.30434782608697,132.97056274847714,0.9498471398056302
62,64,268,386,308,438,285.60407239819006,411.8122171945701,162.42640687119285,0.9588462230780026
63,65,276,66,322,110,296.7769230769231,85.66923076923077,156.84062043356596,0.9643421608501747
64,66,290,444,308,504,297.8392857142857,471.3125,145.14213562373095,0.9457469752112334
65,67,292,384,338,418,315.7692307692308,398.7435897435897,138.59797974644667,0.9605086956606094
66,68,296,228,354,244,325.2628865979381,235.92268041237114,136.55634918610406,0.9560897291120658
67,69,304,0,370,54,335.5068493150685,23.746575342465754,239.98275605729688,0.9676547742939284
68,71,304,486,334,514,321.54347826086956,501.19565217391306,100.83452377915606,0.8746721313691818
69,72,312,102,358,146,333.3241895261845,124.88902743142144,156.70458146424488,0.9634338508839504
70,73,318,276,376,302,343.8761467889908,289.0321100917431,152.8700576850888,0.9505924621773979
71,74,322,356,372,386,347.8862433862434,369.6111111111111,143.1126983722081,0.9437792217928871
72,75,332,36,380,76,357.4259259259259,57.05555555555556,152.2193000900063,0.9461255780348888
73,76,336,326,390,358,361.1542056074766,343.0140186915888,153.5269119345812,0.9546469208055484
74,78,342,488,358,514,350.0955223880597,501.7014925373134,75.31370849898477,0.8262053712926815
75,79,348,166,368,220,356.95652173913044,192.3618925831202,137.59188309203677,0.9416389821258249
76,80,370,62,414,108,393.0128205128205,85.1923076923077,156.66904755831212,0.9467282049501349
77,81,370,396,428,422,398.41705069124424,408.4447004608295,152.8700576850888,0.955318844515848
78,82,374,476,410,514,391.7090395480226,494.26271186440675,130.1126983722081,0.9178446947877492
79,83,376,422,430,448,403.6666666666667,434.9019607843137,144.2842712474619,0.9475183265011918
80,84,378,192,406,246,392.4891304347826,218.45652173913044,146.698484809835,0.9638108320454629
81,85,382,126,432,168,405.2477477477477,147.61711711711712,161.49747468305833,0.9511713132853528
82,86,394,254,428,302,408.80392156862746,279.01960784313724,145.94112549695427,0.944640716715218
83,87,398,0,422,50,408.9973544973545,24.933862433862434,134.21320343559643,0.9264515937276462
84,88,406,100,450,124,427.5066225165563,110.67218543046357,122.04163056034261,0.9441545657079319
85,89,420,360,472,398,443.7165898617512,379.2741935483871,158.42640687119285,0.9518684134151372
86,90,424,58,480,92,452.4787472035794,76.43288590604027,160.94112549695427,0.9491584940471286
87,91,434,496,476,514,450.53809523809525,506.53809523809525,111.97056274847714,0.9498591991451348
88,92,436,0,454,42,444.3943396226415,19.49811320754717,110.17766952966367,0.9201976590237834
89,93,436,160,452,214,444.2081300813008,187.22764227642276,134.42031021678295,0.9600602145837029
90,94,446,298,498,332,471.2136150234742,315.3920187793427,152.35533905932738,0.9492133726511126
91,96,464,414,502,462,483.2219512195122,438.5780487804878,150.42640687119285,0.9474170273900104
92,97,468,126,506,168,484.5864864864865,144.58648648648648,140.35533905932738,0.9398127374573977
93,98,468,218,514,234,490.6608,225.168,123.9350288425444,0.9455333765442081
94,99,468,246,510,292,487.0445026178011,268.6151832460733,152.66904755831212,0.963729966288084
95,100,490,38,514,82,502.74657534246575,56.91095890410959,127.66295090390227,0.9139718469430019
96,101,508,422,514,442,510.34615384615387,430.2692307692308,46.207106781186546,0.9443323194996173
